user_id,total_amount,number_transactions,avg_amount,first_transaction,last_transaction,transaction_period
user_0,6925.080000000002,520,13.317461538461542,2018-09-10 18:54:08.965855,2019-05-10 05:09:13.868855,241.5
user_1,12955.540000000005,133,97.41007518796997,2018-02-04 08:28:17.978146,2019-05-04 02:30:11.492146,453.5
user_10,5438.920000000002,123,44.2188617886179,2018-06-29 15:38:15.855413,2019-05-11 13:07:42.624413,315.5
user_100,4230.1,55,76.9109090909091,2018-12-02 14:23:12.926151,2019-02-24 13:36:50.054151,83.5
user_1000,843.1199999999999,43,19.607441860465112,2019-03-27 11:03:23.105644,2019-05-05 19:08:42.183644,39.5
user_10000,4051.7200000000003,78,51.945128205128206,2018-10-01 02:56:00.092890,2019-05-12 00:25:08.083890,222.5
user_10001,3346.3200000000006,51,65.61411764705883,2018-08-15 02:47:06.526905,2018-10-21 04:12:20.964905,67.5
user_10002,25.099999999999998,5,5.02,2018-12-05 13:36:57.775019,2019-02-05 13:19:27.675019,61.5
user_10003,3263.6099999999997,21,155.41,2018-06-17 07:57:41.547666,2019-05-05 02:26:54.500666,321.5
user_10004,32.339999999999996,2,16.169999999999998,2018-11-22 17:55:20.816955,2019-01-31 03:11:04.220955,69.5
user_10005,17.35,8,2.16875,2018-02-28 06:34:35.751994,2018-08-28 21:38:31.593994,181.5
user_10006,1211.5299999999997,63,19.230634920634916,2018-11-28 00:10:43.953930,2019-05-10 02:08:22.390930,163.5
user_10007,936.86,13,72.06615384615385,2018-04-20 12:55:33.060656,2018-09-02 15:47:44.876656,135.5
user_10008,3203.0800000000013,81,39.54419753086421,2018-03-19 05:58:41.152836,2019-03-21 19:17:56.622836,367.5
user_10009,358.1799999999999,21,17.056190476190473,2018-12-21 00:34:58.286481,2019-05-07 00:13:12.220481,136.5
user_1001,9395.020000000004,148,63.47986486486489,2018-04-02 21:20:48.511658,2019-03-18 06:50:21.260658,349.5
user_10010,3330.4900000000002,59,56.44898305084746,2018-08-02 17:44:20.345580,2019-03-07 19:30:03.000580,217.5
